City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Senador Jose Porfirio,BR,-2.5908,-51.9542,86.65,60,78,3.31,broken clouds
243,Swan Hill,AU,-35.3378,143.5544,61.47,47,58,2.57,light rain
244,Barraute,CA,48.4335,-77.6328,44.87,55,100,5.53,overcast clouds
245,Aksu,CN,41.1231,80.2644,50.72,37,10,3.78,clear sky
246,Kloulklubed,PW,7.0419,134.2556,84.2,71,68,11.21,broken clouds
247,Hofn,IS,64.2539,-15.2082,37.42,93,0,5.75,clear sky
248,Ambilobe,MG,-13.2,49.05,74.64,76,78,3.04,broken clouds
249,Daru,PG,-9.0763,143.2092,80.19,82,84,14.67,broken clouds
250,Baykit,RU,61.67,96.37,21.11,83,100,15.82,overcast clouds
251,Kamaishi,JP,39.2667,141.8833,55.08,82,28,5.21,scattered clouds
252,Saint-Francois,FR,46.4154,3.9054,50.68,94,0,0.0,clear sky
253,Utete,TZ,-7.986,38.758,75.78,80,38,6.49,scattered clouds
254,Pacific Grove,US,36.6177,-121.9166,69.42,73,1,1.99,clear sky
255,Port Lincoln,AU,-34.7333,135.8667,56.43,84,41,10.0,light rain
256,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,98.46,15,28,8.63,scattered clouds
257,Tuy Hoa,VN,13.0833,109.3,76.57,92,99,3.98,overcast clouds
258,Morgan City,US,29.6994,-91.2068,84.2,72,64,18.21,broken clouds
259,Lewiston,US,44.1003,-70.2148,53.71,81,100,4.0,light rain
260,Manakara,MG,-22.1333,48.0167,74.64,80,44,9.01,scattered clouds
261,Bereda,ES,43.2686,-7.5406,60.55,78,17,1.23,few clouds
262,Kochubey,RU,44.3861,46.5825,45.61,72,0,11.07,clear sky
263,Sikonge,TZ,-5.6333,32.7667,74.79,46,84,4.09,broken clouds
264,Sartell,US,45.6216,-94.2069,50.45,91,90,3.0,light rain
265,San Cristobal,VE,7.7669,-72.225,80.78,57,97,6.08,overcast clouds
266,Haines Junction,CA,60.7522,-137.5108,24.75,86,99,2.3,overcast clouds
267,Ishigaki,JP,24.3448,124.1572,76.03,63,91,15.5,overcast clouds
268,Hobyo,SO,5.3505,48.5268,81.18,77,56,11.48,broken clouds
269,Bilma,NE,18.6853,12.9164,87.17,12,0,6.08,clear sky
270,Mumbwa,ZM,-14.9783,27.0619,81.46,32,49,12.01,scattered clouds
271,Talara,PE,-4.5772,-81.2719,74.16,64,0,18.41,clear sky
272,Camacha,PT,33.0833,-16.3333,69.22,68,40,9.22,scattered clouds
273,Sabzevar,IR,36.2126,57.6819,48.09,53,28,5.37,scattered clouds
274,Roald,NO,62.5833,6.1333,55.09,76,40,16.11,scattered clouds
275,Kiunga,PG,-6.1219,141.2906,73.44,99,73,1.83,light rain
276,Katsuura,JP,35.1333,140.3,62.62,91,100,6.46,overcast clouds
277,Mackay,AU,-21.15,149.2,72.05,94,14,3.44,few clouds
278,Chapais,CA,49.7834,-74.8492,46.18,45,100,5.48,overcast clouds
279,Ewa Beach,US,21.3156,-158.0072,78.01,80,40,3.44,scattered clouds
280,Moron,AR,-34.6534,-58.6198,96.03,34,4,4.0,clear sky
281,Port Pirie,AU,-33.1833,138.0167,60.89,84,11,2.98,few clouds
282,Tupik,RU,54.4253,119.9327,33.48,62,87,4.27,overcast clouds
283,Suez,EG,29.9737,32.5263,74.01,49,2,9.13,clear sky
284,Harper,LR,4.375,-7.7169,78.58,83,71,5.53,broken clouds
285,Talnakh,RU,69.4865,88.3972,-2.16,98,100,11.81,overcast clouds
286,Brae,GB,60.3964,-1.353,53.51,88,71,14.52,broken clouds
287,Mastic Beach,US,40.7668,-72.8521,60.04,79,90,3.0,overcast clouds
288,Banjar,ID,-8.19,114.9675,78.66,88,100,2.86,overcast clouds
289,Jatai,BR,-17.8814,-51.7144,84.92,47,100,9.93,overcast clouds
290,Nanning,CN,22.8167,108.3167,72.05,68,96,4.27,overcast clouds
291,Bayan,CN,46.0833,127.4,35.69,82,4,5.88,clear sky
292,Phan Thiet,VN,10.9333,108.1,75.88,91,100,3.33,overcast clouds
293,Daphne,US,30.6035,-87.9036,76.86,64,1,11.5,clear sky
294,Korla,CN,41.7597,86.1469,49.01,41,94,2.73,overcast clouds
295,Olafsvik,IS,64.8945,-23.7142,39.97,95,100,21.97,overcast clouds
296,Ixtapa,MX,20.7,-105.2,83.43,79,90,2.3,overcast clouds
297,Yatou,CN,37.15,122.3833,51.89,68,2,5.75,clear sky
298,Tadine,NC,-21.55,167.8833,73.15,86,82,4.9,broken clouds
299,Makakilo City,US,21.3469,-158.0858,76.6,81,90,4.61,overcast clouds
300,Svetlyy,RU,54.675,20.1347,53.65,86,100,20.56,overcast clouds
301,Manado,ID,1.487,124.8455,75.97,94,40,0.0,scattered clouds
302,Petrykiv,UA,49.5332,25.5809,49.48,81,85,5.1,overcast clouds
303,Yokadouma,CM,3.5167,15.05,67.33,97,100,5.35,moderate rain
304,Ancud,CL,-41.8697,-73.8203,64.42,69,51,8.84,broken clouds
305,Quesnel,CA,52.9999,-122.5029,45.1,57,75,11.5,broken clouds
306,Bonavista,CA,48.6499,-53.1147,45.12,69,91,13.42,overcast clouds
307,Dalnerechensk,RU,45.9339,133.7225,41.7,83,100,7.31,moderate rain
308,Caiaponia,BR,-16.9567,-51.8103,85.1,45,95,8.57,overcast clouds
309,Nenjiang,CN,49.1833,125.2167,35.02,79,4,3.18,clear sky
310,Ayan,RU,56.45,138.1667,34.34,80,85,3.71,overcast clouds
311,Saint-Pierre,RE,-21.3393,55.4781,73.08,78,90,3.44,overcast clouds
312,Manzhouli,CN,49.6,117.4333,35.19,65,17,5.39,few clouds
313,Dicabisagan,PH,17.0818,122.4157,77.14,87,69,7.56,broken clouds
314,Gat,IL,31.61,34.7642,72.81,60,0,7.56,clear sky
315,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,78,40,12.3,scattered clouds
316,Taunggyi,MM,20.7833,97.0333,60.49,96,78,1.41,broken clouds
317,Belvedere Marittimo,IT,39.6179,15.8617,55.94,72,47,10.89,scattered clouds
318,Verkhnyaya Inta,RU,65.9811,60.3094,22.8,73,100,15.12,overcast clouds
319,Hondo,JP,32.45,130.2,59.95,58,0,7.7,clear sky
320,Porto Novo,BJ,6.4965,2.6036,84.02,80,94,5.35,overcast clouds
321,Gizo,SB,-8.103,156.8419,82.54,78,26,9.15,scattered clouds
