City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
256,Presidencia Roque Saenz Pena,AR,98.46,scattered clouds,-26.7852,-60.4388,Hotel Aconcagua
257,Tuy Hoa,VN,76.57,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
258,Morgan City,US,84.2,broken clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
259,Lewiston,US,53.71,light rain,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
260,Manakara,MG,74.64,scattered clouds,-22.1333,48.0167,La Residence Manakara
261,Bereda,ES,60.55,few clouds,43.2686,-7.5406,Pazo de Verdes
263,Sikonge,TZ,74.79,broken clouds,-5.6333,32.7667,Pretoria 2 Lodge
264,Sartell,US,50.45,light rain,45.6216,-94.2069,AmericInn by Wyndham Sartell
265,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
267,Ishigaki,JP,76.03,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
268,Hobyo,SO,81.18,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
269,Bilma,NE,87.17,clear sky,18.6853,12.9164,Expeditions Ténére voyages
270,Mumbwa,ZM,81.46,scattered clouds,-14.9783,27.0619,Mumbwa Motel
271,Talara,PE,74.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
272,Camacha,PT,69.22,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
274,Roald,NO,55.09,scattered clouds,62.5833,6.1333,Flem Cabins
275,Kiunga,PG,73.44,light rain,-6.1219,141.2906,Airport Lodge Kiunga
276,Katsuura,JP,62.62,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
277,Mackay,AU,72.05,few clouds,-21.15,149.2,International Lodge Motel
279,Ewa Beach,US,78.01,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
280,Moron,AR,96.03,clear sky,-34.6534,-58.6198,Hotel Morón
281,Port Pirie,AU,60.89,few clouds,-33.1833,138.0167,John Pirie Motor Inn
283,Suez,EG,74.01,clear sky,29.9737,32.5263,Green House
284,Harper,LR,78.58,broken clouds,4.375,-7.7169,Screensaver
286,Brae,GB,53.51,broken clouds,60.3964,-1.353,Busta House Hotel
287,Mastic Beach,US,60.04,overcast clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
288,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
289,Jatai,BR,84.92,overcast clouds,-17.8814,-51.7144,La Vitre Hotel
290,Nanning,CN,72.05,overcast clouds,22.8167,108.3167,Nanning Travelling With Hostel
292,Phan Thiet,VN,75.88,overcast clouds,10.9333,108.1,Hotel Saigon-PT
293,Daphne,US,76.86,clear sky,30.6035,-87.9036,Amricans Best Inn
296,Ixtapa,MX,83.43,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
297,Yatou,CN,51.89,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
299,Makakilo City,US,76.6,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
300,Svetlyy,RU,53.65,overcast clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
301,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
303,Yokadouma,CM,67.33,moderate rain,3.5167,15.05,Hôtel De Ville De Yokadouma
304,Ancud,CL,64.42,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
308,Caiaponia,BR,85.1,overcast clouds,-16.9567,-51.8103,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
311,Saint-Pierre,RE,73.08,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
313,Dicabisagan,PH,77.14,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
314,Gat,IL,72.81,clear sky,31.61,34.7642,OlusHome
315,Praia Da Vitoria,PT,70.05,scattered clouds,38.7333,-27.0667,Hotel Branco I
316,Taunggyi,MM,60.49,broken clouds,20.7833,97.0333,True Treasure Hotel
317,Belvedere Marittimo,IT,55.94,scattered clouds,39.6179,15.8617,La Marinella
319,Hondo,JP,59.95,clear sky,32.45,130.2,ホテル河丁
320,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
321,Gizo,SB,82.54,scattered clouds,-8.103,156.8419,Imagination Island
322,Bairnsdale,AU,53.71,overcast clouds,-37.8333,147.6167,Town Central Motel
323,Ucluelet,CA,50.31,light rain,48.9329,-125.5528,Black Rock Oceanfront Resort
326,Marienburg,PL,56.95,overcast clouds,54.0359,19.0266,Hotel Centrum Malbork
327,Jieshi,CN,74.57,light rain,22.8134,115.8257,Yuehai Hotel
328,Kalamnuri,IN,68.61,clear sky,19.6667,77.3333,खंडोबा राव शेषराव गडदे
329,Laguna,US,68.23,broken clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
334,Suluq,LY,71.13,broken clouds,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
335,Ponta Delgada,PT,68.72,broken clouds,37.7333,-25.6667,Vila Nova Hotel
337,San Quintin,MX,70.36,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
338,Marsa Matruh,EG,73.92,overcast clouds,31.3525,27.2453,Beau Site
340,Aberdeen,GB,59.49,overcast clouds,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
341,Eyl,SO,80.42,broken clouds,7.9803,49.8164,Amiin Hotel
342,La Paz,BO,62.58,scattered clouds,-16.5,-68.15,Hotel Sagarnaga
344,Tikrit,IQ,73.72,few clouds,34.6071,43.6782,عماره العبطه
345,Port Moresby,PG,76.41,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
346,Sabang,ID,81.14,overcast clouds,5.8933,95.3214,Hotel Citra
347,Chichli,IN,67.37,scattered clouds,22.8333,78.8167,जयश टेंट हाउस चीचली
349,Cidreira,BR,75.45,clear sky,-30.1811,-50.2056,Hotel Castelo
351,Ibiapina,BR,89.91,scattered clouds,-3.9233,-40.8894,Hotel Pinheiro
352,Nabire,ID,75.74,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
353,Puerto Escondido,MX,86.83,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
357,Howard Springs,AU,85.91,clear sky,-12.497,131.047,buffalo beach hostel
358,Loandjili,CG,78.91,light rain,-4.7561,11.8578,Résidence ARCHANGE
359,Panuco,MX,89.78,few clouds,22.05,-98.1667,Hotel Plaza
361,Codrington,AU,54.36,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
362,Lagoa,PT,67.21,overcast clouds,39.05,-27.9833,Casa Das Faias
364,Chau Doc,VN,76.35,overcast clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
367,Praya,CV,86.54,broken clouds,14.9215,-23.5087,LT Aparthotel
368,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
369,Mana,GF,84.6,few clouds,5.6592,-53.7767,LE SAMANA
370,Bageshwar,IN,53.46,clear sky,29.85,79.7667,Danu Janral Store
371,Rawson,AR,79.65,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
372,Prado,BR,80.33,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
373,Broken Hill,AU,71.31,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
374,Souillac,MU,73.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
375,Chemin Grenier,MU,72.57,few clouds,-20.4872,57.4656,Shanti Maurice Resort & Spa
376,Nishihara,JP,72.68,few clouds,26.1842,127.7558,Minshuku Agaihama
377,Karratha,AU,74.32,clear sky,-20.7377,116.8463,ibis Styles Karratha
378,Antofagasta,CL,63.68,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
380,San Antonio,US,79.52,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
381,Neuquen,AR,84.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
382,Shingu,JP,55.81,clear sky,33.7333,135.9833,Shingu UI Hotel
383,Warsaw,PL,56.91,broken clouds,52.2298,21.0118,Hotel Metropol
388,Rio Grande,BR,93.31,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
390,Malanje,AO,72.68,light rain,-9.5402,16.341,Malanje Hotel
391,Bloomfield,US,64.56,broken clouds,40.8068,-74.1854,La Quinta Inn & Suites by Wyndham Clifton/Rutherford
394,Victoria,HK,78.85,light rain,22.2855,114.1577,Mini Hotel Central
395,Valparaiso,CL,61.03,mist,-33.0393,-71.6273,Hotel Ultramar
398,Samarai,PG,80.51,broken clouds,-10.6167,150.6667,Nuli Sapi
399,North Platte,US,56.01,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
400,Ialibu,PG,56.79,overcast clouds,-6.2821,143.9935,Eastwood Guesthouse
401,Rio Gallegos,AR,66.25,scattered clouds,-51.6226,-69.2181,Hotel Santa Cruz
402,Mangochi,MW,77.67,overcast clouds,-14.4782,35.2645,Fort Johnstone Hotel
404,Pasighat,IN,67.78,clear sky,28.0667,95.3333,Siang Guest House
405,Pahrump,US,66.11,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
406,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
407,Kahului,US,77.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
408,Medicine Hat,CA,54.21,broken clouds,50.0501,-110.6683,Sun Dek Motel
410,Shanghai,CN,61.93,light rain,31.2222,121.4581,Swissotel Grand Shanghai
411,Sibolga,ID,76.19,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
412,Podor,MR,98.55,clear sky,16.6527,-14.9587,Auberge Du Tékrour
413,Najran,SA,75.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
414,Dwarka,IN,81.99,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
415,Bambanglipuro,ID,76.89,overcast clouds,-7.95,110.2833,Puri Brata
416,Saint-Philippe,RE,72.99,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
417,Maxixe,MZ,75.02,light rain,-23.8597,35.3472,Oceano
418,Manati,PR,90.41,clear sky,18.4275,-66.4921,Manati World Point Inn
421,Bonthe,SL,81.43,broken clouds,7.5264,-12.505,Bonthe Holiday Village
422,Saint-Joseph,RE,71.98,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
424,Cayenne,GF,89.64,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
429,De Aar,ZA,71.55,overcast clouds,-30.6497,24.0123,Nyibiba Guesthouse
430,Jijiga,ET,66.74,broken clouds,9.35,42.8,RAMAAS HOTEL
433,Monzon,ES,65.44,broken clouds,41.9108,0.1941,Hotel Masmonzón
434,Wanxian,CN,61.79,overcast clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
435,Concordia,AR,93.27,clear sky,-31.393,-58.0209,Palmar Hotel Casino
436,Hulst,NL,57.07,broken clouds,51.28,4.0528,Hotel Hulst
437,Baglung,NP,56.44,clear sky,28.2719,83.5898,"Hotel Peace Palace, Baglung, Nepal"
438,Galle,LK,77.97,overcast clouds,6.0367,80.217,Amangalla
439,Bud,US,57.06,few clouds,39.447,-86.1758,Ted McQuinn Trust
440,Vigrestad,NO,54.0,overcast clouds,58.5667,5.7,Brusand Camping
441,Rafaela,AR,99.05,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
